Item,Category,Candidate_Part_or_Module,Quantity,Function,Package_or_Module,Estimated_Unit_Cost_USD,Manufacturer,MPN,Source_URL,Planning_Status,Schematic_Refs,Reconciliation,Notes
BB-001,Controller,ESP32-C3-WROOM-02-N4,1,Main MCU + Wi-Fi + native USB,18.0x20.0mm module,3.2912 LCSC snapshot 2026-09-05,Espressif Systems,ESP32-C3-WROOM-02-N4,https://documentation.espressif.com/esp32-c3-wroom-02_datasheet_en.pdf,SELECTED_M2,U1,MATCHED_IN_SCHEMATIC,Electrical implementation and antenna keepout owned by issue #3
BB-002,PM Sensor,SPS30,1,Particulate trend sensing,Module + JST ZHR-5 cable,TBD - authorized manufacturer source required,Sensirion AG,SPS30,https://sensirion.com/media/documents/8600FF88/64A3B8D6/Sensirion_PM_Sensors_Datasheet_SPS30.pdf,SELECTED_M2,U2 + J2,MATCHED_IN_SCHEMATIC,Mating cable tracked as non-schematic item NS-002; public LCSC result lacked manufacturer identity so no LCSC property was written
BB-003,VOC Sensor,SGP40-D-R4,1,VOC proxy/index sensing,DFN-6 EP 2.44x2.44mm,6.8654 LCSC snapshot 2026-09-05,Sensirion AG,SGP40-D-R4,https://sensirion.com/media/documents/296373BB/6203C5DF/Sensirion_Gas_Sensors_Datasheet_SGP40.pdf,SELECTED_M2,U3,MATCHED_IN_SCHEMATIC,Requires SHT40 compensation values and Sensirion Gas Index Algorithm
BB-004,TempHumidity Sensor,SHT40-AD1B-R2,1,Temperature/humidity context,DFN-4 1.5x1.5mm open cavity no center land,2.0288 LCSC snapshot 2026-09-05,Sensirion AG,SHT40-AD1B-R2,https://sensirion.com/media/documents/33FD6951/6555C40E/Sensirion_Datasheet_SHT4x.pdf,SELECTED_M2,U4,MATCHED_IN_SCHEMATIC,Open-cavity placement and no-copper-under-sensor rules apply
BB-005,Regulation,TPS62162DSGR,1,Fixed 3.3V 1A buck,WSON-8 EP 2x2mm,0.9697 LCSC snapshot 2026-09-05,Texas Instruments,TPS62162DSGR,https://www.ti.com/lit/ds/symlink/tps62160.pdf,SELECTED_M2,U5 + L1 C1 C2 R3,MATCHED_IN_SCHEMATIC,Inductor/capacitor MPNs resolved in schematic (L1 TDK VLS252012T-2R2M1R3; C1/C2/C3 Murata; see bom/bom.csv)
BB-006A,Protection,TPD4E05U06DQAR,1,USB D+/D-/CC1/CC2 ESD,USON-10 2.5x1mm,0.0819 LCSC snapshot 2026-09-05,Texas Instruments,TPD4E05U06DQAR,https://www.ti.com/lit/ds/symlink/tpd4e05u06.pdf,SELECTED_M2,U6,MATCHED_IN_SCHEMATIC,Place at USB connector with short ground return; C138714 is exact TI match
BB-006B,Power switch,TPS22919DCKR,1,Gate SPS30 5V rail,SC-70-6,0.1378 LCSC snapshot 2026-09-05,Texas Instruments,TPS22919DCKR,https://www.ti.com/lit/ds/symlink/tps22919.pdf,SELECTED_M2,U7,MATCHED_IN_SCHEMATIC,Supports source-state recovery/suspend modes but firmware policy remains required
BB-006C,Protection,MF-MSMF050-2,1,USB input resettable fault protection,1812,0.0690 LCSC snapshot 2026-09-05,Bourns,MF-MSMF050-2,https://bourns.com/docs/product-datasheets/mf-msmf.pdf,SELECTED_M2,F1,MATCHED_IN_SCHEMATIC,Not a precision 500mA limiter
BB-006D,Protection,SMBJ5.0A-13-F,1,VBUS transient clamp,SMB DO-214AA,0.1019 LCSC snapshot 2026-09-05,Diodes Incorporated,SMBJ5.0A-13-F,https://www.diodes.com/assets/Datasheets/ds19002.pdf,SELECTED_M2,D1,MATCHED_IN_SCHEMATIC,Unidirectional device; cathode to VBUS and anode to GND; physical size reviewed in schematic
BB-007,UI,Status LED(s) + tactile button,1 set,Local user feedback and mark events,SMD mix,TBD - live sourcing required,Lite-On / C&K,LTST-C190KGKT / PTS810SJM250SMTRLFS,TBD,RESOLVED_IN_SCHEMATIC,D2 SW1,MATCHED_IN_SCHEMATIC,LED and button parts selected with MPNs in schematic; live sourcing/pricing remains TBD
